experiment_name,dataset_name,model_name,scenario_name,run_id,best_val_macro_f1,best_val_accuracy,best_val_loss,best_epoch,mode,target,alpha,beta,mix_lambda,start_epoch,mean_epoch_time,mean_throughput,exp_dir
runs_fractional_scenarios,small_D2_L64,T_base_mean,baseline_adamw,1,0.2920087534563858,0.356000006198883,1.8526510181427005,8,none,none,,,0.0,,14.69838366508484,272.55148104143825,/home/user/fractional_unlearning/runs_fractional_scenarios/small_D2_L64/T_base_mean/baseline_adamw/run_1
runs_fractional_hypothesis_v2,small_D2_L64,T_wide_mean,all_mix_a08_lam005,0,0.2909337554756926,0.3589999973773956,1.8366010227203369,9,mix,all,0.8,0.9,0.05,1.0,1.2847530841827393,4495.871511699141,/home/user/fractional_unlearning/runs_fractional_hypothesis_v2/small_D2_L64/T_wide_mean/all_mix_a08_lam005/run_0
runs_transformer_fractional,small_D2_L64,T_deep_mean,adamw,2,0.290847645432307,0.367000013589859,1.8212749719619752,5,,,,,,,48.54808497428894,82.51001760628661,/home/user/fractional_unlearning/runs_transformer_fractional/small_D2_L64/T_deep_mean/adamw/run_2
runs_fractional_hypothesis_v2,small_D2_L64,T_base_mean,emb_replace_a09,2,0.2902675717505522,0.3619999885559082,1.8225796451568603,10,replace,embeddings,0.9,0.9,1.0,1.0,1.265575122833252,4240.821137679022,/home/user/fractional_unlearning/runs_fractional_hypothesis_v2/small_D2_L64/T_base_mean/emb_replace_a09/run_2
runs_fractional_hypothesis_v2,small_D2_L64,T_base_mean,emb_mix_a08_lam025,1,0.2897448300823512,0.3700000047683716,1.845801336288452,8,mix,embeddings,0.8,0.9,0.25,1.0,0.8665231227874756,9442.858629608634,/home/user/fractional_unlearning/runs_fractional_hypothesis_v2/small_D2_L64/T_base_mean/emb_mix_a08_lam025/run_1
runs_fractional_focused_final,small_D2_L64,T_wide_mean,delayed_head_mix_a08_lam010_warm3,1,0.2897206170336822,0.3619999885559082,1.8298464269638064,9,mix,head,0.8,0.9,0.01,4.0,1.328139567375183,4178.566237847726,/home/user/fractional_unlearning/runs_fractional_focused_final/small_D2_L64/T_wide_mean/delayed_head_mix_a08_lam010_warm3/run_1
runs_transformer_fractional,small_D2_L64,T_deep_mean,adam,0,0.2896834705678964,0.3650000095367431,1.7981002178192138,8,,,,,,,47.4579619884491,84.29437273956498,/home/user/fractional_unlearning/runs_transformer_fractional/small_D2_L64/T_deep_mean/adam/run_0
runs_fractional_focused_final,small_D2_L64,T_wide_mean,emb_mix_a08_lam015,0,0.2895960174329208,0.3510000109672546,1.8233835735321045,8,mix,embeddings,0.8,0.9,0.015,1.0,1.0166724920272827,7181.56391112906,/home/user/fractional_unlearning/runs_fractional_focused_final/small_D2_L64/T_wide_mean/emb_mix_a08_lam015/run_0
runs_fractional_scenarios,small_D2_L64,T_wide_mean,ffn_only_replace_a08,2,0.2895815902151809,0.3409999907016754,1.9065144157409668,10,replace,ffn,0.8,0.9,1.0,1.0,1.3043555736541748,4117.884193738915,/home/user/fractional_unlearning/runs_fractional_scenarios/small_D2_L64/T_wide_mean/ffn_only_replace_a08/run_2
runs_fractional_scenarios,small_D2_L64,T_base_mean,delayed_mixed_head_a08_lam025_warm3,1,0.2891883826755291,0.3370000123977661,1.837256788253784,10,mix,head,0.8,0.9,0.25,4.0,14.811790347099304,270.120884180115,/home/user/fractional_unlearning/runs_fractional_scenarios/small_D2_L64/T_base_mean/delayed_mixed_head_a08_lam025_warm3/run_1
