scenario_name,mode,target,alpha,beta,mix_lambda,start_epoch,best_val_macro_f1_count,best_val_macro_f1_mean,best_val_macro_f1_std,best_val_macro_f1_min,best_val_macro_f1_max,best_val_accuracy_count,best_val_accuracy_mean,best_val_accuracy_std,best_val_accuracy_min,best_val_accuracy_max,best_val_loss_count,best_val_loss_mean,best_val_loss_std,best_val_loss_min,best_val_loss_max,final_val_macro_f1_count,final_val_macro_f1_mean,final_val_macro_f1_std,final_val_macro_f1_min,final_val_macro_f1_max,final_val_accuracy_count,final_val_accuracy_mean,final_val_accuracy_std,final_val_accuracy_min,final_val_accuracy_max,final_val_loss_count,final_val_loss_mean,final_val_loss_std,final_val_loss_min,final_val_loss_max,mean_epoch_time_count,mean_epoch_time_mean,mean_epoch_time_std,mean_epoch_time_min,mean_epoch_time_max,mean_throughput_count,mean_throughput_mean,mean_throughput_std,mean_throughput_min,mean_throughput_max
delayed_all_mix_a08_lam010_warm3,mix,all,0.8,0.9,0.1,4.0,45,0.16218275816698366,0.07280919460890774,0.0810028022885281,0.2867409712411974,45,0.3195925957626766,0.02433355516132307,0.270000010728836,0.3540000021457672,45,1.9516947367986044,0.052334739337825294,1.8303701076507568,2.042471403121948,45,0.15385492057910494,0.07360853628318177,0.0635455964104595,0.2643395640096023,45,0.3195814847946167,0.021729445682808865,0.2709999978542328,0.3608333468437195,45,1.9434261279212102,0.05852308155436806,1.8162795772552487,2.0333649225234987,45,2.859575146569146,1.4959868770134128,0.7893109083175659,6.317282176017761,45,3605.1048949772785,1775.690734178492,1556.75087771053,10759.341652743233
delayed_mixed_head_a08_lam025_warm3,mix,head,0.8,0.9,0.25,4.0,45,0.16214727047137903,0.07622518963024134,0.0772169035453885,0.2891883826755291,45,0.32120555705494347,0.026160668863866546,0.2745000123977661,0.356000006198883,45,1.9368989641401504,0.06410585259371658,1.7889635400772097,2.0380026836395264,45,0.15609885510651397,0.07949582251609402,0.0559493579045911,0.2891883826755291,45,0.3204907417297363,0.026513059572649596,0.2685000002384186,0.356000006198883,45,1.9369174347559612,0.06553622784773531,1.7889635400772097,2.04811619758606,45,4.085208987659878,3.387067898811993,1.238711714744568,15.650002193450929,45,2973.5848161682293,1543.3050138199721,256.674813446368,5896.8076560327945
delayed_head_mix_a08_lam005_warm3,mix,head,0.8,0.9,0.005,4.0,75,0.16196530525056854,0.0729789271798473,0.0793718269369086,0.2942273801924508,75,0.3192377781867981,0.025629425159253993,0.2574999928474426,0.3683333396911621,75,1.9482284683736164,0.05327236913128383,1.7927580022811889,2.0441840705871583,75,0.1526031281587861,0.07663806826429936,0.0609752726597823,0.2848103037012507,75,0.3199944452444712,0.025955635282571915,0.2574999928474426,0.3712500035762787,75,1.942960962384542,0.05618995954245171,1.7927580022811889,2.0441840705871583,75,2.4324628890355426,1.1137624829377135,0.8083823919296265,4.60745747089386,75,4159.149334477015,1722.3701820912045,1903.9820718007188,9986.279982290922
emb_mix_a08_lam0025,mix,embeddings,0.8,0.9,0.0025,1.0,75,0.16179626694168708,0.07389413714953573,0.0735645343443284,0.2950922259616289,75,0.3207166671752929,0.022137730676454116,0.2680000066757202,0.3587499856948852,75,1.9471574810918173,0.051232658746272294,1.8110286388397216,2.045781848907471,75,0.1508687818878681,0.07296898435382498,0.057947293715345,0.2763726868816987,75,0.3199533335367838,0.022004627287361602,0.277999997138977,0.3583333194255829,75,1.9408955118560793,0.05187868227778628,1.825183786392212,2.051085315704346,75,2.414238778114319,1.092237466947055,0.7298629999160766,4.697764420509339,75,4082.7154636737705,1671.435093354671,1877.9922228903004,12233.472769100035
emb_mix_a08_lam005,mix,embeddings,0.8,0.9,0.005,1.0,75,0.16163357906668985,0.07315078618785253,0.076686662786914,0.2801997292365652,75,0.3184166653951009,0.02460596868543186,0.273499995470047,0.3579166531562805,75,1.9473438558578489,0.05747900880423771,1.826904839515686,2.0518886337280278,75,0.15216106162838333,0.07496008852783442,0.0655728504766189,0.2778145596551424,75,0.3181788889567057,0.02481190062094956,0.2685000002384186,0.3510000109672546,75,1.943767315800985,0.06042081094306122,1.8199154262542725,2.0518886337280278,75,2.4221593513488773,1.118102737708156,0.7487936735153198,4.6996968507766725,75,4170.515696540105,1880.8467201687852,1846.1286105202987,11694.307206596002
emb_replace_a070,replace,embeddings,0.7,0.9,1.0,1.0,75,0.16162551111728696,0.07468909262805834,0.0783583267266666,0.2808443525026783,75,0.3177377776304881,0.0247813470134338,0.2685000002384186,0.3709999918937683,75,1.9483631056086221,0.058463378288396865,1.788507339477539,2.0530054683685304,75,0.15331164208080053,0.07661547488057129,0.0632870695915824,0.2808443525026783,75,0.3175355553627014,0.024981260676589772,0.2675000131130218,0.3709999918937683,75,1.9450094866943362,0.05935252568424488,1.788507339477539,2.0411496839523315,75,2.4387013139724734,1.125142331046911,0.8769896984100342,4.757085180282592,75,4041.7762437108036,1485.9928869315509,1861.4988749290053,8204.130220260373
delayed_emb_mix_a08_lam015_warm3,mix,embeddings,0.8,0.9,0.015,4.0,75,0.1614284982316442,0.07262734142659501,0.0776938848843976,0.2800118247544172,75,0.3193588896592458,0.025840775378663354,0.2635000050067901,0.3589999973773956,75,1.9465192907714846,0.05215912327500485,1.834534502029419,2.043210906982422,75,0.15428092331687485,0.07377972381133234,0.0593195885338444,0.2723134326296366,75,0.3190855550765991,0.024660703331169202,0.2635000050067901,0.3570833206176758,75,1.9414968626022338,0.05592835477433208,1.828806601524353,2.043210906982422,75,2.4387405983606976,1.133545664831151,0.8540498733520507,4.780592274665833,75,4149.1273754177255,1801.2162818032714,1894.9113410706764,10757.75489424931
delayed_head_mix_a08_lam015_warm3,mix,head,0.8,0.9,0.015,4.0,75,0.1611953186555982,0.07426012312940276,0.0713350687348372,0.2976974701540236,75,0.32014666716257734,0.023897647775849285,0.2759999930858612,0.3709999918937683,75,1.9508037928771975,0.05488727136241684,1.808827663421631,2.037116004943848,75,0.15259974994086323,0.07594050904506994,0.0541783855361769,0.2976974701540236,75,0.3181544438997904,0.02401216176227893,0.2759999930858612,0.3709999918937683,75,1.947151453107198,0.05988904442724746,1.80777605342865,2.0378145790100097,75,2.4120566568374633,1.0781841389716589,0.7137175798416138,4.697654175758362,75,4105.508170732246,1670.369335606723,1895.7677165092707,12664.680963148983
delayed_all_mix_a08_lam015_warm3,mix,all,0.8,0.9,0.15,4.0,45,0.16106989885776626,0.07515711974837962,0.0750116449988241,0.2849390137368904,45,0.3197888897524939,0.023029032687344533,0.2790000140666961,0.3630000054836273,45,1.9462297426859538,0.05719747920164323,1.8329645099639893,2.0205382022857665,45,0.1519566836900651,0.07825427935804105,0.055829590078168,0.2849390137368904,45,0.320411111248864,0.024463687241542627,0.2790000140666961,0.3630000054836273,45,1.9448011592653063,0.059753154371256466,1.8315071697235108,2.0424675312042235,45,2.888812511761983,1.5109792850181618,0.9944230318069458,6.330158495903016,45,3482.365060038509,1372.922708664237,1549.6258944252154,6452.605605645605
emb_replace_a065,replace,embeddings,0.65,0.9,1.0,1.0,75,0.1610005808828636,0.0721927193647856,0.0734742554738239,0.2829712902869311,75,0.32105111241340634,0.022643685707265583,0.2725000083446502,0.3620833456516266,75,1.9428887851715089,0.055367487736062475,1.820996780395508,2.034240083694458,75,0.1519526647567637,0.07268143169996194,0.0553781830807009,0.2829712902869311,75,0.31870888988176976,0.02256689314153214,0.2764999866485595,0.3591666519641876,75,1.9393620656458537,0.0617826265896768,1.7922035846710205,2.079947319984436,75,2.4554996089935304,1.1088817962043145,0.9180063724517822,4.7340843915939335,75,3942.887040852347,1443.49770819264,1898.004615453824,7916.696205490453
