scenario_name,mode,target,alpha,beta,mix_lambda,start_epoch,delta_best_val_macro_f1_vs_baseline_count,delta_best_val_macro_f1_vs_baseline_mean,delta_best_val_macro_f1_vs_baseline_std,delta_best_val_macro_f1_vs_baseline_min,delta_best_val_macro_f1_vs_baseline_max,delta_best_val_macro_f1_vs_baseline_sum,delta_best_val_accuracy_vs_baseline_count,delta_best_val_accuracy_vs_baseline_mean,delta_best_val_accuracy_vs_baseline_std,delta_best_val_accuracy_vs_baseline_min,delta_best_val_accuracy_vs_baseline_max,delta_best_val_accuracy_vs_baseline_sum,delta_final_val_macro_f1_vs_baseline_count,delta_final_val_macro_f1_vs_baseline_mean,delta_final_val_macro_f1_vs_baseline_std,delta_final_val_macro_f1_vs_baseline_min,delta_final_val_macro_f1_vs_baseline_max,delta_final_val_macro_f1_vs_baseline_sum,beats_baseline_best_macro_f1_count,beats_baseline_best_macro_f1_mean,beats_baseline_best_macro_f1_std,beats_baseline_best_macro_f1_min,beats_baseline_best_macro_f1_max,beats_baseline_best_macro_f1_sum
delayed_head_mix_a08_lam015_warm3,mix,head,0.8,0.9,0.015,4.0,75,-0.00021723643339562762,0.0163267408888897,-0.03424492881502189,0.05626256949739317,-0.016292732504672072,75,-0.0010055557886759403,0.018103620619203113,-0.043999999761581365,0.046999990940093994,-0.07541668415069552,75,0.0005419664849160906,0.019337121650015412,-0.036857156212323494,0.05588075382194169,0.0406474863687068,75,0.44,0.49972965664419966,False,True,33
emb_replace_a065,replace,embeddings,0.65,0.9,1.0,1.0,75,-0.0004119742061302258,0.01283716146337159,-0.02868140736839958,0.03073769582443489,-0.030898065459766935,75,-0.0001011105378468824,0.015015178547966487,-0.030499994754791204,0.03850001096725458,-0.00758329033851618,75,-0.00010511869918343483,0.01825794437463884,-0.04659762023888331,0.03489484166980919,-0.007883902438757612,75,0.5466666666666666,0.5011698027327377,False,True,41
delayed_emb_mix_a08_lam005_warm3,mix,embeddings,0.8,0.9,0.005,4.0,75,-0.0004545507574757205,0.015755599744192373,-0.046034763526615896,0.0405432377787695,-0.03409130681067904,75,-0.0009366667270660379,0.01681589643923362,-0.03958332538604742,0.041999995708465576,-0.07025000452995284,75,-0.0007658421722959357,0.02101282645898726,-0.050380234185461115,0.04695728114895109,-0.05743816292219518,75,0.5066666666666667,0.5033222956847166,False,True,38
all_mix_a08_lam030,mix,all,0.8,0.9,0.03,1.0,75,-0.0005761809770378349,0.013714247668237069,-0.028749636489912272,0.03042118517184289,-0.04321357327783762,75,-0.0007666687170664476,0.013244482215528004,-0.02849999070167536,0.02699998021125799,-0.057500153779983576,75,0.0016987867593239825,0.016744146574386727,-0.046382200773555704,0.039003383593822105,0.1274090069492987,75,0.48,0.5029641865709455,False,True,36
embeddings_only_replace_a08,replace,embeddings,0.8,0.9,1.0,1.0,45,-0.0007335931595216416,0.013057524390176085,-0.037530925833646644,0.0278248472244349,-0.03301169217847387,45,-5.18533918592739e-05,0.014858881461650894,-0.027500003576278742,0.03700000047683716,-0.0023334026336673253,45,-0.0012706174850751523,0.017192839702592284,-0.044544871410393705,0.0362727846270096,-0.05717778682838185,45,0.4,0.49543369430686224,False,True,18
emb_replace_a060,replace,embeddings,0.6,0.9,1.0,1.0,75,-0.0007650878151872827,0.01699264080860808,-0.03694900773349781,0.03910313445127342,-0.0573815861390462,75,-0.0027888882160186737,0.016181215481510035,-0.04199999570846563,0.0339999794960022,-0.20916661620140053,75,0.0007666962445926673,0.017623359447681914,-0.0356683557639173,0.03785750006856792,0.057502218344450046,75,0.5066666666666667,0.5033222956847166,False,True,38
delayed_all_mix_a08_lam015_warm3,mix,all,0.8,0.9,0.15,4.0,45,-0.0008819310594314776,0.011955143942775533,-0.02854808726064162,0.023265762267772397,-0.039686897674416494,45,3.704759809709647e-06,0.014947625416461682,-0.034000009298324585,0.027000010013580322,0.0001667141914369341,45,-0.0018187994606407435,0.017229204694484006,-0.044796801920900964,0.028209292363441135,-0.08184597572883345,45,0.5555555555555556,0.5025189076296062,False,True,25
delayed_head_mix_a08_lam020_warm3,mix,head,0.8,0.9,0.02,4.0,75,-0.0009779448584154684,0.01552302142459396,-0.03844514269232349,0.035951614168771406,-0.07334586438116013,75,-0.000910001198450722,0.018748258325191478,-0.04500001668930048,0.03999999165534979,-0.06825008988380415,75,-0.00048691265529475215,0.020334852594339356,-0.050383838913538315,0.045727357354159615,-0.03651844914710641,75,0.5333333333333333,0.5022472023339227,False,True,40
all_mix_a08_lam020,mix,all,0.8,0.9,0.02,1.0,75,-0.0010392163738459958,0.017267728198051776,-0.04710188205495909,0.0603026800041393,-0.07794122803844968,75,0.00041444619496663486,0.015058250039324818,-0.0559999942779541,0.038000017404556274,0.031083464622497614,75,0.0003976121159906206,0.019865460163154405,-0.06115984768749061,0.07149134435074128,0.029820908699296544,75,0.4266666666666667,0.49792361655973705,False,True,32
all_mix_a08_lam005,mix,all,0.8,0.9,0.05,1.0,45,-0.0011653917889844127,0.015095863698465424,-0.037803525876392303,0.03157446722969917,-0.05244263050429857,45,0.001744445827272202,0.015057804940674862,-0.04000002145767212,0.03799998760223389,0.07850006222724909,45,-0.0014000873602848301,0.015677032949647136,-0.047555838844200476,0.025543476304703105,-0.06300393121281736,45,0.5333333333333333,0.504524979109513,False,True,24
